Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=4.640V
Average			  :,V=3.375V
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,40.00uS

index,CH1_Voltage(mV)
1145,4480.00
1146,4480.00
1147,4560.00
1148,4480.00
1149,4560.00
1150,4480.00
1151,4480.00
1152,4560.00
1153,4560.00
1154,4480.00
1155,4560.00
1156,4480.00
1157,4560.00
1158,4560.00
1159,4560.00
1160,4480.00
1161,4560.00
1162,4560.00
1163,4480.00
1164,4560.00
1165,4560.00
1166,4480.00
1167,4480.00
1168,4560.00
1169,4560.00
1170,4480.00
1171,4560.00
1172,4560.00
1173,4480.00
1174,4560.00
1175,4480.00
1176,4560.00
1177,4480.00
1178,4480.00
1179,4560.00
1180,4560.00
1181,4480.00
1182,4560.00
1183,4560.00
1184,4560.00
1185,4560.00
1186,4560.00
1187,4560.00
1188,4480.00
1189,4480.00
1190,4480.00
1191,4560.00
1192,4560.00
1193,4560.00
1194,4560.00
1195,4560.00
1196,4560.00
1197,4560.00
1198,4560.00
1199,4560.00
1200,4560.00
1201,4480.00
1202,4560.00
1203,4480.00
1204,4560.00
1205,4480.00
1206,4480.00
1207,4560.00
1208,4560.00
1209,4560.00
1210,4560.00
1211,4560.00
1212,4560.00
1213,4560.00
1214,4560.00
1215,4560.00
1216,4560.00
1217,4480.00
1218,4560.00
1219,4560.00
1220,4480.00
1221,4560.00
1222,4560.00
1223,4480.00
1224,4560.00
1225,4480.00
1226,4480.00
1227,4560.00
1228,4560.00
1229,4560.00
1230,160.00
1231,80.00
1232,80.00
1233,0.00
1234,80.00
1235,0.00
1236,0.00
1237,0.00
1238,0.00
1239,0.00
1240,0.00
1241,80.00
1242,0.00
1243,0.00
1244,0.00
1245,0.00
1246,4480.00
1247,4480.00
1248,4560.00
1249,4480.00
1250,4480.00
1251,4480.00
1252,4560.00
1253,4480.00
1254,4560.00
1255,4480.00
1256,4480.00
1257,4560.00
1258,80.00
1259,160.00
1260,0.00
1261,80.00
1262,0.00
1263,0.00
1264,0.00
1265,80.00
1266,0.00
1267,80.00
1268,0.00
1269,0.00
1270,0.00
1271,0.00
1272,0.00
1273,0.00
1274,4480.00
1275,4400.00
1276,4480.00
1277,4560.00
1278,4480.00
1279,4560.00
1280,4560.00
1281,4560.00
1282,4480.00
1283,4560.00
1284,4480.00
1285,4480.00
1286,4560.00
1287,4560.00
1288,4560.00
1289,4480.00
1290,4560.00
1291,4560.00
1292,4480.00
1293,4560.00
1294,4480.00
1295,4480.00
1296,4560.00
1297,4560.00
1298,4560.00
1299,4560.00
1300,4560.00
1301,4560.00
1302,4560.00
1303,4560.00
1304,4560.00
1305,4560.00
1306,4560.00
1307,4560.00
1308,4560.00
1309,4480.00
1310,4480.00
1311,4480.00
1312,4560.00
1313,4560.00
1314,4480.00
1315,80.00
1316,80.00
1317,0.00
1318,0.00
1319,0.00
1320,80.00
1321,0.00
1322,0.00
1323,0.00
1324,0.00
1325,0.00
1326,0.00
1327,0.00
1328,0.00
1329,0.00
1330,4480.00
1331,4480.00
1332,4480.00
1333,4480.00
1334,4560.00
1335,4480.00
1336,4480.00
1337,4560.00
1338,4560.00
1339,4480.00
1340,4480.00
1341,4480.00
1342,4480.00
1343,80.00
1344,80.00
1345,80.00
1346,0.00
1347,0.00
1348,0.00
1349,0.00
1350,0.00
1351,0.00
1352,0.00
1353,0.00
1354,0.00
1355,0.00
1356,0.00
1357,0.00
1358,0.00
1359,4480.00
1360,4480.00
1361,4480.00
1362,4480.00
1363,4480.00
1364,4480.00
1365,4480.00
1366,4480.00
1367,4480.00
1368,4480.00
1369,4560.00
1370,4560.00
1371,80.00
1372,80.00
1373,80.00
1374,80.00
1375,0.00
1376,0.00
1377,0.00
1378,0.00
1379,0.00
1380,0.00
1381,0.00
1382,0.00
1383,0.00
1384,0.00
1385,0.00
1386,0.00
1387,4480.00
1388,4480.00
1389,4480.00
1390,4480.00
1391,4560.00
1392,4480.00
1393,4480.00
1394,4560.00
1395,4480.00
1396,4560.00
1397,4480.00
1398,4560.00
1399,160.00
1400,80.00
1401,80.00
1402,0.00
1403,0.00
1404,0.00
1405,0.00
1406,0.00
1407,0.00
1408,0.00
1409,0.00
1410,0.00
1411,0.00
1412,0.00
1413,0.00
1414,0.00
1415,4400.00
1416,4400.00
1417,4480.00
1418,4560.00
1419,4480.00
1420,4480.00
1421,4560.00
1422,4480.00
1423,4480.00
1424,4480.00
1425,4480.00
1426,4480.00
1427,4480.00
1428,80.00
1429,0.00
1430,0.00
1431,80.00
1432,0.00
1433,80.00
1434,80.00
1435,0.00
1436,0.00
1437,0.00
1438,0.00
1439,0.00
1440,0.00
1441,0.00
1442,0.00
1443,0.00
1444,4480.00
1445,4480.00
1446,4480.00
1447,4480.00
1448,4480.00
1449,4480.00
1450,4560.00
1451,4480.00
1452,4560.00
1453,4480.00
1454,4560.00
1455,4480.00
1456,160.00
1457,80.00
1458,0.00
1459,0.00
1460,0.00
1461,0.00
1462,0.00
1463,0.00
1464,0.00
1465,0.00
1466,0.00
1467,0.00
1468,0.00
1469,0.00
1470,0.00
1471,4400.00
1472,4480.00
1473,4480.00
1474,4480.00
1475,4480.00
1476,4480.00
1477,4560.00
1478,4560.00
1479,4560.00
1480,4560.00
1481,4480.00
1482,4480.00
1483,4480.00
1484,4480.00
1485,4480.00
1486,4560.00
1487,4560.00
1488,4560.00
1489,4560.00
1490,4480.00
1491,4480.00
1492,4480.00
1493,4560.00
1494,4480.00
1495,4480.00
1496,4560.00
1497,4480.00
1498,4480.00
1499,4480.00
1500,4560.00
1501,4560.00
1502,4560.00
1503,4560.00
1504,4480.00
1505,4560.00
1506,4480.00
1507,4560.00
1508,4560.00
1509,4560.00
1510,4480.00
1511,4480.00
1512,4560.00
1513,160.00
1514,80.00
1515,80.00
1516,0.00
1517,0.00
1518,0.00
1519,0.00
1520,0.00
1521,0.00
1522,0.00
1523,0.00
1524,0.00
1525,0.00
1526,0.00
1527,0.00
1528,4160.00
1529,4480.00
1530,4480.00
1531,4480.00
1532,4480.00
1533,4480.00
1534,4560.00
1535,4560.00
1536,4480.00
1537,4480.00
1538,4480.00
1539,4480.00
1540,4480.00
1541,4560.00
1542,4560.00
1543,4560.00
1544,4480.00
1545,4480.00
1546,4480.00
1547,4560.00
1548,4560.00
1549,4560.00
1550,4560.00
1551,4480.00
1552,4480.00
1553,4560.00
1554,4560.00
1555,4560.00
1556,4560.00
1557,4480.00
1558,4480.00
1559,4480.00
1560,4560.00
1561,4560.00
1562,4560.00
1563,4480.00
1564,4480.00
1565,4480.00
1566,4560.00
1567,4480.00
1568,4560.00
1569,160.00
1570,80.00
1571,80.00
1572,80.00
1573,0.00
1574,0.00
1575,80.00
1576,0.00
1577,0.00
1578,0.00
1579,0.00
1580,0.00
1581,0.00
1582,0.00
1583,0.00
1584,80.00
1585,4400.00
1586,4480.00
1587,4480.00
1588,4480.00
1589,4480.00
1590,4480.00
1591,4560.00
1592,4560.00
1593,4560.00
1594,4480.00
1595,4560.00
1596,4480.00
1597,160.00
1598,80.00
1599,160.00
1600,0.00
1601,0.00
1602,0.00
1603,80.00
1604,80.00
1605,0.00
1606,0.00
1607,0.00
1608,0.00
1609,0.00
1610,0.00
1611,0.00
1612,0.00
1613,4400.00
1614,4480.00
1615,4480.00
1616,4480.00
1617,4480.00
1618,4480.00
1619,4480.00
1620,4560.00
1621,4480.00
1622,4480.00
1623,4480.00
1624,4480.00
1625,4480.00
1626,4560.00
1627,4480.00
1628,4480.00
1629,4560.00
1630,4560.00
1631,4560.00
1632,4560.00
1633,4560.00
1634,4480.00
1635,4560.00
1636,4560.00
1637,4560.00
1638,4560.00
1639,4560.00
1640,4480.00
1641,4560.00
1642,4560.00
1643,4560.00
1644,4480.00
1645,4560.00
1646,4560.00
1647,4480.00
1648,4480.00
1649,4560.00
1650,4560.00
1651,4480.00
1652,4560.00
1653,4480.00
1654,160.00
1655,160.00
1656,0.00
1657,0.00
1658,0.00
1659,80.00
1660,80.00
1661,0.00
1662,80.00
1663,0.00
1664,0.00
1665,0.00
1666,0.00
1667,0.00
1668,0.00
1669,0.00
1670,4480.00
1671,4480.00
1672,4480.00
1673,4480.00
1674,4560.00
1675,4560.00
1676,4560.00
1677,4480.00
1678,4480.00
1679,4560.00
1680,4480.00
1681,4480.00
1682,4480.00
1683,4560.00
1684,4560.00
1685,4560.00
1686,4560.00
1687,4560.00
1688,4480.00
1689,4560.00
1690,4560.00
1691,4560.00
1692,4480.00
1693,4560.00
1694,4560.00
1695,4480.00
1696,4560.00
1697,4480.00
1698,4480.00
1699,4560.00
1700,4480.00
1701,4480.00
1702,4560.00
1703,4560.00
1704,4560.00
1705,4560.00
1706,4560.00
1707,4560.00
1708,4480.00
1709,4560.00
1710,80.00
1711,160.00
1712,0.00
1713,0.00
1714,80.00
1715,80.00
1716,0.00
1717,0.00
1718,0.00
1719,0.00
1720,0.00
1721,0.00
1722,80.00
1723,0.00
1724,0.00
1725,0.00
1726,4400.00
1727,4480.00
1728,4480.00
1729,4560.00
1730,4480.00
1731,4480.00
1732,4480.00
1733,4480.00
1734,4480.00
1735,4480.00
1736,4480.00
1737,4560.00
1738,4560.00
1739,160.00
1740,80.00
1741,0.00
1742,0.00
1743,80.00
1744,0.00
1745,0.00
1746,0.00
1747,0.00
1748,0.00
1749,0.00
1750,0.00
1751,0.00
1752,0.00
1753,0.00
1754,0.00
1755,4480.00
1756,4480.00
1757,4480.00
1758,4560.00
1759,4560.00
1760,4560.00
1761,4560.00
1762,4560.00
1763,4480.00
1764,4480.00
1765,4560.00
1766,4480.00
1767,4480.00
1768,4480.00
1769,4480.00
1770,4480.00
1771,4560.00
1772,4560.00
1773,4480.00
1774,4560.00
1775,4480.00
1776,4480.00
1777,4560.00
1778,4480.00
1779,4480.00
1780,4480.00
1781,4560.00
1782,4560.00
1783,4560.00
1784,4560.00
1785,4480.00
1786,4480.00
1787,4480.00
1788,4560.00
1789,4480.00
1790,4560.00
1791,4560.00
1792,4560.00
1793,4560.00
1794,4480.00
1795,160.00
1796,160.00
1797,80.00
1798,0.00
1799,0.00
1800,0.00
1801,0.00
1802,0.00
1803,0.00
1804,0.00
1805,0.00
1806,0.00
1807,0.00
1808,0.00
1809,4400.00
1810,4400.00
1811,4480.00
1812,4560.00
1813,4560.00
1814,4480.00
1815,4560.00
1816,4560.00
1817,4560.00
1818,4560.00
1819,4480.00
1820,4560.00
1821,4560.00
1822,4480.00
1823,4480.00
1824,4480.00
1825,4480.00
1826,4560.00
1827,4560.00
1828,4560.00
1829,4480.00
1830,4560.00
1831,4560.00
1832,4560.00
1833,4560.00
1834,4560.00
1835,4480.00
1836,4560.00
1837,4560.00
1838,4560.00
1839,4560.00
1840,4480.00
1841,4480.00
1842,4560.00
1843,4560.00
1844,4560.00
1845,4560.00
1846,4560.00
1847,4560.00
1848,4560.00
1849,4560.00
1850,160.00
1851,160.00
1852,0.00
1853,0.00
1854,0.00
1855,80.00
1856,0.00
1857,0.00
1858,0.00
1859,0.00
